BL preservation diagnostic, 120 km l=4 Pohlker pristine SALT, Jan 2025
WITH PRESCRIBED-CCN PATCH (Heikenfeld 2019 ACP precedent)
Amazon IGBP-2 deep-interior cells: 329
Init SALT band targets /cm³ (2x pristine over IGBP-2):
  surface (lev 0)             292.5
  low-BL (lev 1-4)            279.5
  cloud-base (lev 5-8)        235.5
  mid-BL/FT (lev 9-12)        174.9

date                     surface (lev 0)      low-BL (lev 1-4)  cloud-base (lev 5-8)  mid-BL/FT (lev 9-12)
----------------------------------------------------------------------------------------------------------
2025-01-12_00                     292.49                279.49                235.45                174.91
2025-01-13_00                     292.49                279.49                235.45                174.91
2025-01-14_00                     292.49                279.49                235.45                174.91
2025-01-15_00                     292.49                279.49                235.45                174.91
2025-01-16_00                     292.49                279.49                235.45                174.91
2025-01-17_00                     292.49                279.49                235.45                174.91
2025-01-18_00                     292.49                279.49                235.45                174.91
2025-01-19_00                     292.49                279.49                235.45                174.91
2025-01-20_00                     292.49                279.49                235.45                174.91
2025-01-21_00                     292.49                279.49                235.45                174.91
2025-01-22_00                     292.49                279.49                235.45                174.91
2025-01-23_00                     292.49                279.49                235.45                174.91
2025-01-24_00                     292.49                279.49                235.45                174.91
2025-01-25_00                     292.49                279.49                235.45                174.91
2025-01-26_00                     292.49                279.49                235.45                174.91
2025-01-27_00                     292.49                279.49                235.45                174.91
2025-01-28_00                     292.49                279.49                235.45                174.91
2025-01-29_00                     292.49                279.49                235.45                174.91
2025-01-30_00                     292.49                279.49                235.45                174.91
2025-01-31_00                     292.49                279.49                235.45                174.91
2025-02-01_00                     292.49                279.49                235.45                174.91
2025-02-02_00                     292.49                279.49                235.45                174.91
2025-02-03_00                     292.49                279.49                235.45                174.91
2025-02-04_00                     292.49                279.49                235.45                174.91
2025-02-05_00                     292.49                279.49                235.45                174.91
2025-02-06_00                     292.49                279.49                235.45                174.91
2025-02-07_00                     292.49                279.49                235.45                174.91
2025-02-08_00                     292.49                279.49                235.45                174.91
2025-02-09_00                     292.49                279.49                235.45                174.91
2025-02-10_00                     292.49                279.49                235.45                174.91
2025-02-11_00                     292.49                279.49                235.45                174.91

PASS CRITERION (cloud-base lev 5-8 within ±5% of init): PASS
  max deviation: 0.00%
