BL preservation diagnostic, 120 km l=4 Pohlker pristine SALT, Jan 2025
Amazon IGBP-2 deep-interior cells: 329
Init pristine band means /cm³:
  surface (lev 0)             146.2
  low-BL (lev 1-4)            139.7
  cloud-base (lev 5-8)        117.7
  mid-BL/FT (lev 9-12)         87.5

date                     surface (lev 0)      low-BL (lev 1-4)  cloud-base (lev 5-8)  mid-BL/FT (lev 9-12)
----------------------------------------------------------------------------------------------------------
2025-01-12_00                     292.49                139.74                117.73                 87.45
2025-01-13_00                   11448.34               1461.79                895.68                742.84
2025-01-14_00                   11399.83               2344.61               1824.82               1752.74
2025-01-15_00                   11393.08               2995.50               2629.36               2029.31
2025-01-16_00                   11393.08               2988.25               2609.97               2068.56
2025-01-17_00                   11393.08               2978.53               2825.48               2350.54
2025-01-18_00                   11440.68               3230.22               3076.11               3224.29
2025-01-19_00                   11406.65               3189.99               3266.80               3982.84
2025-01-20_00                   12680.70               3625.23               3548.07               3931.72
2025-01-21_00                   17578.66               3707.51               2920.58               3358.88
2025-01-22_00                   19766.90               3296.80               2156.22               2457.07
2025-01-23_00                   11399.15               3016.19               1605.24               1947.70
2025-01-24_00                   11397.84               3252.28               1258.95               1705.38
2025-01-25_00                   12092.20               3156.18               1331.12               1915.20
2025-01-26_00                   11719.28               3163.67               1478.11               2026.05
2025-01-27_00                   11394.21               3167.10               1540.21               2180.62
2025-01-28_00                   11393.08               3348.92               1796.69               2065.72
2025-01-29_00                   11393.08               3582.53               2068.84               2095.40
2025-01-30_00                   11393.08               3658.99               1961.67               2090.61
2025-01-31_00                   11393.08               3790.31               1850.62               2159.02
2025-02-01_00                   11458.60               3497.08               1435.17               1786.51
2025-02-02_00                   11424.51               3076.46               1325.19               1483.19
2025-02-03_00                   12698.91               3125.91               1393.62               1232.25
2025-02-04_00                   11746.97               3224.84               1474.65               1283.29
2025-02-05_00                   11393.08               3140.99               1548.75               1559.35
2025-02-06_00                   11393.08               3233.19               1720.65               1655.35
2025-02-07_00                   11393.08               3297.30               1840.11               1788.38
2025-02-08_00                   11395.85               3564.12               2032.10               1890.57
2025-02-09_00                   11527.50               3657.79               1979.21               1686.89
2025-02-10_00                   11509.54               3895.79               1947.74               1583.07
2025-02-11_00                   11512.61               3687.56               1856.79               1411.43
